,jp,en
604,我慢,"我慢
がまん

patience
endurance
perseverance
tolerance
self-control
self-denial
"
605,叫ぶ,"叫ぶ
さけぶ

to shout
to cry
to scream
to shriek
to yell
to exclaim
to clamor (for or against)
to clamour (for or against)
"
606,違和感,"違和感
いわかん

uncomfortable feeling
feeling out of place
sense of discomfort
malaise
physical unease
"
607,狂気,"狂気
きょうき

madness
insanity
"
608,地理,"地理
ちり

geography
"
609,通じる,"通じる
つうじる

to be open (to traffic)
to lead to
to communicate (with)
to flow (liquid, current)
to pass
to get through to
to be understood
to be comprehended
to be honored
to be good
to be well versed in
to be well-informed
to communicate clandestinely
to keep in touch (e.g. with the enemy)
to form a liaison
to be intimate
to spread widely
to disseminate
"
610,大体,"大体
だいたい

outline
main point
gist
general
substantially
approximately
about
in the first place
to begin with
from the start
"
611,寄る,"寄る
よる

to approach
to draw near
to come near
to be close to
to gather (in one place)
to come together
to meet
to stop by (while on one's way to another place)
to drop by
to make a short visit
to grow old
to grow high (number, etc.)
to grow (wrinkly)
to lean against
to recline on
to push one's opponent while holding their belt
to decide on a price and come to a deal
to be swayed by (a person)
to yield to
"
612,廃墟,"廃墟
はいきょ

ruins
abandoned building
"
613,訊く,"訊く
きく

to hear
to listen (e.g. to music)
to ask
to enquire
to query
to learn of
to hear about
to follow (advice)
to comply with
to smell (esp. incense)
to sample fragrance
"
614,覚める,"覚める
さめる

to wake
to wake up
to become sober
to sober up
to regain consciousness (e.g. after anaesthesia)
to come to one's senses
to be disillusioned
"
615,ともかく,"ともかく
ともかく

anyhow
anyway
somehow or other
generally speaking
in any case
be that as it may
"
616,余裕,"余裕
よゆう

surplus
margin
leeway
room
time
allowance
flexibility
scope
rope
composure
placidity
complacency
calm
"
617,正体,"正体
しょうたい

true character
true form
true colors (colours)
identity
truth (of a mystery, phenomenon, etc.)
origin
consciousness
one's senses
"
618,知識,"知識
ちしき

knowledge
information
"
619,意味不明,"意味不明
いみふめい

of uncertain meaning
ambiguous
cryptic
"
620,引っ張る,"引っ張る
ひっぱる

to pull
to draw
to pull tight
to string (lines)
to run (cable)
to stretch
to pull towards oneself (e.g. someone's sleeve)
to drag
to haul
to tow
to lead (e.g. one's followers)
to take someone somewhere (e.g. a suspect to the police)
to tempt into joining
to strongly invite to join
to delay
to prolong
to lengthen the pronunciation (of a word)
to quote
to cite
to reference
to pull the ball
to wear
to put on
"
621,逆,"逆
ぎゃく

reverse
opposite
converse (of a hypothesis, etc.)
inverse (function)
"
622,に対して,"に対して
にたいして

towards
against
regarding
in contrast with
"
623,正気,"正気
しょうき

sanity
consciousness
soberness
"
624,現象,"現象
げんしょう

phenomenon
"
625,認識,"認識
にんしき

recognition
cognizance
cognisance
knowledge
realization
realisation
awareness
perception
"
626,視点,"視点
してん

opinion
point of view
viewpoint
visual point
"
627,体験,"体験
たいけん

personal experience
physical experience
one's own experience
"
628,脳,"脳
のう

brain
brains
mind
"
629,普段,"普段
ふだん

usual
habitual
ordinary
everyday
always
"
630,向ける,"向ける
むける

to turn towards
to point
"
631,言動,"言動
げんどう

speech and conduct
words and deeds
"
632,襲う,"襲う
おそう

to attack
to assail
to make an assault
to strike
to hunt down
to succeed (someone in a post, role, etc.)
to make a sudden visit
"
633,予想,"予想
よそう

expectation
anticipation
prediction
forecast
conjecture
"
634,領域,"領域
りょういき

area
domain
territory
field
range
region
regime
"
635,人見知り,"人見知り
ひとみしり

shyness
fear of strangers
stranger anxiety
"
636,段階,"段階
だんかい

grade
level
stage
class
phase
steps
order
gradation
"
637,探検,"探検
たんけん

exploration
expedition
"
638,視線,"視線
しせん

one's line of sight
one's gaze
one's eyes (looking)
glance
gaze
look
"
639,冗談,"冗談
じょうだん

jest
joke
funny story
"
640,秒,"秒
びょう

second (60th min)
"
641,叩く,"叩く
たたく

to strike
to clap
to knock
to beat
to tap
to pat
to play drums
to abuse
to flame (e.g. on the Internet)
to insult
to consult
to sound out
to brag
to talk big
to call
to invoke (e.g. a function)
"
642,恐る恐る,"恐る恐る
おそるおそる

timidly
"
643,なお,"なお
なお

furthermore
still
yet
more
still more
in addition
greater
further
"
644,から,"から
から

from (e.g. time, place, numerical quantity)
since
from (originator)
by
because
since
out of (constituent, part)
through (e.g. window, vestibule)
after
since
"
645,きれい,"きれい
きれい

pretty
lovely
beautiful
fair
clean
clear
pure
tidy
neat
completely
entirely
"
646,左右,"左右
さゆう
そう
さう

left and right
influence
control
domination
"
647,おもちゃ,"おもちゃ
おもちゃ

toy
plaything
"
648,歩く,"歩く
あるく

to walk
"
649,だけ,"だけ
だけ

only
just
merely
simply
no more than
nothing but
alone
as (e.g. as soon as, as much as)
worth
"
650,西,"西
にし

west
"
651,文字,"文字
もじ
もんじ

letter (of alphabet)
character
literal
"
652,そう,"そう
そう

so
really
seeming
appearing that
seeming that
looking like
having the appearance of
"
653,昼,"昼
ひる

noon
midday
daytime
lunch
"
654,天気,"天気
てんき

weather
the elements
fair weather
fine weather
"
655,会社,"会社
かいしゃ

company
corporation
workplace
"
656,仕事,"仕事
しごと

work
job
business
occupation
employment
vocation
task
work
"
657,作る,"作る
つくる

to make
to produce
to manufacture
to build
to construct
to prepare (food)
to brew (alcohol)
to raise
to grow
to cultivate
to train
to till
to draw up (a document)
to make out
to prepare
to write
to create (an artistic work, etc.)
to compose
to coin (a phrase)
to organize
to organise
to establish
to found
to have (a child)
to make up (one's face, etc.)
to fabricate (an excuse, etc.)
to form (a line, etc.)
to set (a record)
to commit (a sin, etc.)
"
658,いつ,"いつ
いつ

when
how soon
"
659,見つかる,"見つかる
みつかる

to be found
to be discovered
"
660,広い,"広い
ひろい

spacious
vast
wide
"
661,社会,"社会
しゃかい

society
public
community
the world
social studies
"
662,売る,"売る
うる

to sell
"
663,見せる,"見せる
みせる

to show
to display
to make (something or someone) look ...
to present an appearance of ...
to make (something) worth watching
to be entertaining
to make a show of (doing)
to do in a conspicuous manner
to do in view of others
to resolve to do
to do at any cost
to show others that one will ...
"
664,研究,"研究
けんきゅう

study
research
investigation
"
665,呼ぶ,"呼ぶ
よぶ

to call out (to)
to call
to invoke
to summon (a doctor, etc.)
to invite
to designate
to name
to brand
to garner (support, etc.)
to gather
to take as one's wife
"
666,送る,"送る
おくる

to send (a thing)
to dispatch
to despatch
to transmit
to take or escort (a person somewhere)
to see off (a person)
to bid farewell (to the departed)
to bury
to spend (time)
to live one's life
to pass (down the line)
to affix okurigana
to present (e.g. a movie)
"
667,少ない,"少ない
すくない

few
a little
scarce
insufficient
seldom
"
668,考える,"考える
かんがえる

to think about
to take into consideration
to ponder
to reflect
to try to come at a conclusion
to think over (something)
to intend
to decide (to do)
to plan
to come up with
to devise
to scheme
to predict
to anticipate
to expect
to suspect
to doubt
to consider (somebody to be something)
to look on
"
669,社長,"社長
しゃちょう

company president
manager
director
"
670,東,"東
ひがし
ひむかし
ひんがし

east
"
671,工場,"工場
こうじょう
こうば

factory
plant
mill
workshop
"
672,場所,"場所
ばしょ

place
location
spot
position
room
space
basho
wrestling tournament
"
673,全部,"全部
ぜんぶ

all
entire
whole
altogether
"
674,両親,"両親
りょうしん
ふたおや

parents
both parents
"
675,雪,"雪
ゆき

snow
"
676,予定,"予定
よてい

plans
arrangement
schedule
program
programme
expectation
estimate
"
677,選ぶ,"選ぶ
えらぶ

to choose
to select
"
678,最近,"最近
さいきん

most recent
these days
right now
recently
nowadays
"
679,自由,"自由
じゆう

freedom
liberty
as it pleases you
"
680,警察,"警察
けいさつ

police
police officer
police station
"
681,運ぶ,"運ぶ
はこぶ

to carry
to transport
to move
to convey
to come
to go
to wield (a tool, etc.)
to use
to go (well, etc.)
to proceed
to progress
"
682,安全,"安全
あんぜん

safety
security
"
683,番組,"番組
ばんぐみ

program (e.g. TV)
programme
"
684,例えば,"例えば
たとえば

for example
for instance
e.g.
"
685,台風,"台風
たいふう

typhoon
hurricane
"
686,小説,"小説
しょうせつ

novel
(short) story
"
687,空港,"空港
くうこう

airport
"
688,庭,"庭
にわ

garden
yard
courtyard
field (of action)
area
"
689,相手,"相手
あいて

companion
partner
company
other party
addressee
opponent (sports, etc.)
"
690,押す,"押す
おす

to push
to press
to apply pressure from above
to press down
to stamp (i.e. a passport)
to apply a seal
to affix (e.g. gold leaf)
to press (someone for something)
to urge
to compel
to influence
to overwhelm
to overpower
to repress
to push (events along)
to advance (a plan)
to do in spite of ...
to do even though ...
to force
to make sure
to be pressed for time
to advance troops
to attack
(of light) to be diffused across an entire surface
"
691,高い,"高い
たかい

high
tall
expensive
"
692,あげる,"あげる
あげる

to raise
to elevate
to do up (one's hair)
to fly (a kite, etc.)
to launch (fireworks, etc.)
to surface (a submarine, etc.)
to land (a boat)
to deep-fry
to show someone (into a room)
to summon (for geishas, etc.)
to send someone (away)
to enrol (one's child in school)
to enroll
to increase (price, quality, status, etc.)
to develop (talent, skill)
to improve
to make (a loud sound)
to raise (one's voice)
to earn (something desirable)
to praise
to give (an example, etc.)
to cite
to summon up (all of one's energy, etc.)
to arrest
to nominate
to give
to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)
to bear (a child)
to conduct (a ceremony, esp. a wedding)
(of the tide) to come in
to vomit
to do for (the sake of someone else)
to complete ...
to humbly do ...
"
693,使う,"使う
つかう

to use (a thing, method, etc.)
to make use of
to put to use
to use (a person, animal, puppet, etc.)
to employ
to handle
to manage
to manipulate
to use (time, money, etc.)
to spend
to consume
to use (language)
to speak
"
694,経験,"経験
けいけん

experience
"
695,金曜日,"金曜日
きんようび

Friday
"
696,作家,"作家
さっか

author
writer
novelist
artist
"
697,病院,"病院
びょういん

hospital
"
698,昔,"昔
むかし

olden days
former
"
699,南,"南
みなみ

south
"
700,頼む,"頼む
たのむ

to request
to beg
to ask
to call
to order
to reserve
to entrust to
to rely on
"
701,新聞,"新聞
しんぶん

newspaper
"
702,北,"北
きた

north
the North
northern territories
North Korea
north wind
"
703,月曜日,"月曜日
げつようび

Monday
"
704,種類,"種類
しゅるい

variety
kind
type
category
counter for different sorts of things
"
705,約束,"約束
やくそく

promise
agreement
arrangement
one's word
contract
pact
appointment
engagement
date
convention
rule
destiny
fate
"
706,どちら,"どちら
どちら

which way
which direction
where
which one (esp. of two alternatives)
who
"
707,落ちる,"落ちる
おちる

to fall down
to drop
to fall (e.g. rain)
to sink (e.g. sun or moon)
to fall onto (e.g. light or one's gaze)
to be used in a certain place (e.g. money)
to be omitted
to be missing
to decrease
to sink
to fail (e.g. exam or class)
to lose (contest, election, etc.)
to crash
to degenerate
to degrade
to fall behind
to become indecent (of a conversation)
to be ruined
to go under
to fade
to come out (e.g. a stain)
to come off (e.g. makeup)
to be removed (e.g. illness, possessing spirit, name on a list)
to fall (into someone's hands)
to become someone's possession
to fall (into a trap)
to fall (for a trick)
to give in
to give up
to confess
to flee
to fall
to be defeated
to surrender
to come to (in the end)
to end in
to fall (in love, asleep, etc.)
to swoon (judo)
to consent
to understand
to crash
to freeze
to die
to move to the depths
"
